Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
NEOS,SHA-256,PoS,4392258.24647793,21000000.0
HYPER,Scrypt,PoW/PoS,9631199.99309942,0.0
PINK,X11,PoW/PoS,436353624.490312,500000000.0
CESC,Scrypt,PoW,780210700.0,1000000000.0
ADC,Scrypt,PoW/PoS,980732528.97974,10500000000.0
NKA,SHA-256,PoW/PoS,17939725045.334,190000000.0
PIGGY,X11,PoW/PoS,494240666.028571,1000000000.0
CRW,SHA-256,PoW,22986929.0854247,42000000.0
GEN,Scrypt,PoW/PoS,60000000.0,15000000.0
SMLY,Scrypt,PoW,29583989322.9213,50000000000.0
MI,Scrypt,PoW/PoS,404316475.545465,400000000.0
GRS,Groestl,PoW,73298203.8873662,105000000.0
CPC,X11,PoW/PoS,201364327.427503,208000000.0
CLUB,Scrypt,PoW/PoS,103621876.167052,160000000.0
RADS,PoS,PoS,3821245.74150193,9000000.0
BTA,Scrypt,PoW,5052555.91981545,5000000.0
PAK,Scrypt,PoW,69684455.4387001,182000000.0
CRB,X11,Proof of Trust,16901016.6609755,16504333.0
OK,SHA-256,PoW/PoS,74676064.9488608,105000000.0
LSK,DPoS,DPoS,120012140.0,159918400.0
XHI,Scrypt,PoS,10000244677.7002,10008835635.0
XWC,Scrypt,PoW/PoS,252005564.19257,300000000.0
FSC,NeoScrypt,PoW/PoS,1120385.00502,60168145.0
J,Multiple,PoW,3332922.5,2800000.0
TRI,X13,PoW/PoS,140777.753365,120000.0
VOLLAR,Equihash+Scrypt,PoW,100000000.0,2100000000.0
EOS,DPoS,DPoS,1020544523.0722,0.0
RCC,Ethash,PoW,24487944.0958204,24487944.0
OXY,DPoS,DPoS,1122382283.37,0.0
TCH,SHA-256,PoS,1000000000.0,1000000000.0
WAVES,Leased POS,LPoS,100000000.0,100000000.0
PART,PoS,PoS,9283137.5558676,8634140.0
BTT,TRC10,DPoS,989988713439.649,990000000000.0
NXT,PoS,PoS/LPoS,1000000000.0,1000000000.0
ZEPH,SHA-256,DPoS,1999999995.3056,2000000000.0
GAP,Scrypt,PoW/PoS,14931046.1546605,250000000.0
BDX,CryptoNight,PoW,980222595.0,1400222610.0
ZEN,Equihash,PoW,7296537.5,21000000.0
XBC,Scrypt,PoS,128326.99633965,1000000.0
